product_title,product_price,product_link,product_image
Samsung Galaxy A15 - 8GB RAM 256GB ROM  6.5'' FHD+ Super Amoled Display 5000 mAh Battery PTA Approved 1 Year Official Brand Warranty,"Rs. 52,980",https://www.daraz.pk/products/8gb-a15-256gb-fhd-65-mah-pta-1-i567092291.html,https://img.drz.lazcdn.com/static/pk/p/09fba60e38e2ca478dba4f19e3703f5f.png_400x400q75.png_.webp
"Samsung Galaxy A54 , 5G , 8GB Ram 256GB Rom , 6.4 Inches AMOLED Display 120Hz , 5000 mAh-Fast battery 25W wired","Rs. 135,999",https://www.daraz.pk/products/a54-5g-8gb-256gb-64-120hz-5000-mah-25w-i429905632.html,https://img.drz.lazcdn.com/static/pk/p/8667789c9ad8e5225d01d9975ed3b5f8.jpg_400x400q75.jpg_.webp
Samsung Galaxy A05 - 6GB RAM 128GB ROM 6.7'' HD+ Display 50MP Main Camera 5000mAh Battery 25w Fast Charge,"Rs. 32,980",https://www.daraz.pk/products/4gb-a05-64gb-hd-50mp-5mah-25-i492162536.html,https://img.drz.lazcdn.com/static/pk/p/ddf198a01e84ba68a994200d3f1411f4.png_400x400q75.png_.webp
"Samsung Galaxy A24 , 6GB Ram 128GB Rom , 6.5 Inches AMLOED Display , 5000 mAh   - Fast charging 25W wired","Rs. 72,999",https://www.daraz.pk/products/a24-6gb-128gb-65-5000-mah-25-i429902628.html,https://img.drz.lazcdn.com/static/pk/p/f1ab7c8d0d156cde7a389b58d5b49ebe.jpg_400x400q75.jpg_.webp
vivo V40 5G - 12GB RAM - 256GB ROM - 50MP ZEISS - 5500mAh Battery - 80W Flashcharge - SDM 7 Gen 3 -  7.58mm 3D Amoled,"Rs. 139,999",https://www.daraz.pk/products/vivo-v40-5g-12gb-ram-256gb-rom-50mp-zeiss-5500mah-battery-80w-flashcharge-sdm-7-gen-3-758mm-3d-amoled-i587275359.html,https://img.drz.lazcdn.com/static/pk/p/9b0128236f6e36c684d1ce7ba58fef12.png_400x400q75.png_.webp
"Infinix Hot 50 Pro Plus 8GB RAM 256GB ROM 6.78"" AMOLED Display 5000mAh Battery 33W Fast Charging PTA Approved 1 Year Official Brand Warranty","Rs. 60,980",https://www.daraz.pk/products/50-1-pta-33-mah-678-mah-i602672440.html,https://img.drz.lazcdn.com/static/pk/p/adec2b949ce55d6d5ea720a2d4e4943b.png_400x400q75.png_.webp
"Samsung Galaxy A24 , 8GB Ram 128GB Rom , 6.5 Inches AMLOED Display , 5000 mAh   - Fast charging 25W wired","Rs. 77,499",https://www.daraz.pk/products/a24-8gb-128gb-65-5000-mah-25-i429911198.html,https://img.drz.lazcdn.com/static/pk/p/6662193e686ef8c141af287411e7183e.jpg_400x400q75.jpg_.webp
SPARX EDGE 20 PRO = 8GB+8GB = 16GB RAM = 256GB ROM = 5000mAh BATTERY,"Rs. 53,999",https://www.daraz.pk/products/20-8gb-8gb-16gb-256gb-5000mah-i466052368.html,https://img.drz.lazcdn.com/static/pk/p/fb676a483c16e79c77e971125ffe59a8.jpg_400x400q75.jpg_.webp
Infinix Hot 50 pro Plus || 8GB+8GB Ram 256GB || 5000mAh Battery,"Rs. 59,999",https://www.daraz.pk/products/50-wach-8gb-8gb-256gb-100-mah-i603848399.html,https://img.drz.lazcdn.com/static/pk/p/a741818ce22a905bb58877e518cb72e0.png_400x400q75.png_.webp
"Samsung Galaxy A13 - 6.6"" Inch display (4GB RAM - 64GB ROM)","Rs. 55,800",https://www.daraz.pk/products/a13-4gb-64gb-i422520015.html,https://img.drz.lazcdn.com/static/pk/p/77740630d71797da967678ba4122581f.jpg_400x400q75.jpg_.webp
SAMSUNG A15 = 8GB RAM = 256GB ROM = 5000mAh BATTERY,"Rs. 56,999",https://www.daraz.pk/products/a15-8gb-256gb-5000mah-i468518833.html,https://img.drz.lazcdn.com/static/pk/p/a7fc7b37684922d4eb0dd2fd6f37080f.jpg_400x400q75.jpg_.webp
"Samsung Galaxy Z Flip 6  - 6.7"" Inch Display - 12GB RAM - 256GB , 512GB ROM","Rs. 383,999",https://www.daraz.pk/products/samsung-galaxy-z-flip-6-67-inch-display-12gb-ram-256gb-512gb-rom-i564241965.html,https://img.drz.lazcdn.com/static/pk/p/bdefcb34bbecb330aaa3961704ebcf39.jpg_400x400q75.jpg_.webp
"Samsung Z Fold 6 | 2024's Ultimate Foldable 5G Smartphone | Featuring a 7.6"" Dynamic AMOLED Display, Snapdragon 8 Gen 3, 12GB RAM, Triple Camera System, Stylus Support, and Water Resistance","Rs. 629,999",https://www.daraz.pk/products/z-6-2024-5g-a-76-8-3-12gb-i532804461.html,https://img.drz.lazcdn.com/static/pk/p/76ad6ebf3a81f21361cbb1d2232dfdc6.jpg_400x400q75.jpg_.webp
